PETTORALE,SESSO,ANNO,TEMPO_UFFICIALE
196,F,1972,1:21:12
640,M,1963,1:21:13
415,F,1978,1:21:14
256,M,1970,1:21:24
742,F,1996,1:21:25
211,F,1951,1:21:26
416,F,1976,1:21:40
386,F,1962,1:21:47
357,F,1961,1:21:50
591,F,1981,1:21:58
421,M,1981,1:22:56
27,F,1999,1:22:58
160,F,1964,1:23:00
665,M,1981,1:23:39
598,M,1995,1:23:41
200,M,1987,1:23:46
459,F,1959,1:23:54
128,F,2001,1:23:54
704,F,1969,1:24:02
529,M,1961,1:24:03
95,M,1964,1:24:06
312,M,1945,1:24:09
405,F,1998,1:24:27
18,F,1963,1:24:29
662,M,1960,1:24:36
661,M,1959,1:24:41
632,M,1950,1:24:55
321,F,1972,1:25:04
507,M,1984,1:25:04
733,F,1996,1:25:09
343,M,1977,1:25:13
614,F,1989,1:25:13
315,F,1989,1:25:14
13,F,1980,1:26:25
681,F,1982,1:26:25
134,M,1957,1:26:41
337,F,1994,1:27:37
827,F,1998,1:27:46
124,F,1974,1:27:50
694,M,1970,1:27:57
648,F,1969,1:27:59
548,M,1960,1:28:23
783,M,1979,1:28:27
131,M,1965,1:28:40
824,F,1952,1:28:42
266,F,2001,1:28:46
371,F,1966,1:28:47
16,F,2002,1:28:48
270,F,1956,1:28:52
286,M,1968,1:28:53
803,F,1964,1:28:59
826,M,1946,1:29:52
407,F,1994,1:30:21
533,M,1958,1:33:02
169,F,1964,1:33:50
809,M,1961,1:34:10
19,F,1992,1:34:46
151,M,1992,1:34:46
538,M,1963,1:35:17
249,M,1954,1:36:14
172,M,1958,1:37:45
630,M,1957,1:38:13
389,M,1991,1:38:37
248,M,1950,1:38:51
685,F,1999,1:39:04
650,M,1960,1:39:31
767,F,2000,1:39:38
770,F,1965,1:41:01
521,F,1966,1:41:24
82,F,1970,1:41:25
221,F,1963,1:42:03
710,F,1961,1:42:26
849,F,1963,1:42:55
348,F,1988,1:43:25
823,F,1945,1:44:09
36,F,1969,1:44:58
620,F,1985,1:44:58
676,M,1961,1:46:33
70,M,1955,1:47:58
761,F,1958,1:50:51
112,F,1949,1:51:30
717,F,1969,1:51:43
716,F,1945,1:51:44
132,M,1994,1:53:52
828,M,1992,1:55:57
643,F,1993,1:55:57
